dataset,method,family,variant_suffix,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI
CIFAR-20,TAC[g=0.0],TAC,g=0.0,0.5443,0.606753693433456,0.41264250089404275,0.5238,0.5744751918835832,0.3843509645732311
CIFAR-20,KEC[g=0.5],KEC,g=0.5,0.5747,0.6054619768579614,0.44074144633194945,0.5275,0.5593440404900437,0.3864981667783996
CIFAR-20,SAGE-A[g=0.5],SAGE-A,g=0.5,0.5732,0.6101057872790949,0.44090512311203517,0.5508,0.5665846475287855,0.3975674596062979
CIFAR-20,SAGE-AG[g=0.0],SAGE-AG,g=0.0,0.5686,0.6098520098547738,0.4313028448756638,0.6125,0.6110480326230281,0.44544206718111595
CIFAR-20,SAGE-AG[g=0.5],SAGE-AG,g=0.5,0.5686,0.6098520098547738,0.4313028448756638,0.5141,0.552398956979307,0.3698888923182649
CIFAR-20,SAGE-AGP[g=0.0],SAGE-AGP,g=0.0,0.5677,0.5948608236234499,0.41896899517173103,0.542,0.5830792744497778,0.395535244188043
CIFAR-20,SAGE-AGP[g=0.25],SAGE-AGP,g=0.25,0.5677,0.5948608236234499,0.41896899517173103,0.5091,0.5564044099748657,0.359707168086389
CIFAR-20,SAGE-AGP[g=0.5],SAGE-AGP,g=0.5,0.5677,0.5948608236234499,0.41896899517173103,0.5588,0.5782090745958243,0.40923925044838566
CIFAR-20,SAGE-AGC[adaptive],SAGE-AGC,adaptive,0.5686,0.6098520098547738,0.4313028448756638,0.508,0.5615721549755539,0.36645787450083406
CIFAR-20,SAGE-AGPC[adaptive],SAGE-AGPC,adaptive,0.5677,0.5948608236234499,0.41896899517173103,0.5044,0.5488930224371209,0.35775344219439903
CIFAR-20,SAGE-HYB[adaptive],SAGE-HYB,adaptive,0.4887,0.5767623794632837,0.3758174229390739,0.5184,0.5536398121761242,0.36205223262540226
