dataset,method,family,variant_suffix,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI
DTD,TAC[g=0.0],TAC,g=0.0,0.45691489361702126,0.5944351004267242,0.28768774469414415,0.48723404255319147,0.6168675495804512,0.3327266919138273
DTD,KEC[g=0.5],KEC,g=0.5,0.4441489361702128,0.6102776672021213,0.30372898941714854,0.4829787234042553,0.6082475628228138,0.3334095526421751
DTD,SAGE-A[g=0.5],SAGE-A,g=0.5,0.45904255319148934,0.6097930954522686,0.3057545255181663,0.47127659574468084,0.6002148132454994,0.3202832683492198
DTD,SAGE-AG[g=0.0],SAGE-AG,g=0.0,0.47925531914893615,0.6112305465926201,0.3052116341006428,0.5090425531914894,0.6222847840256476,0.3446637011369578
DTD,SAGE-AG[g=0.5],SAGE-AG,g=0.5,0.47925531914893615,0.6112305465926201,0.3052116341006428,0.5074468085106383,0.6189448701224207,0.34679002714282897
DTD,SAGE-AGP[g=0.0],SAGE-AGP,g=0.0,0.4734042553191489,0.6140753271179074,0.3162760963379843,0.5058510638297873,0.6241876857211764,0.35378931193395485
DTD,SAGE-AGP[g=0.25],SAGE-AGP,g=0.25,0.4734042553191489,0.6140753271179074,0.3162760963379843,0.4946808510638298,0.6224135469258454,0.3450714112742153
DTD,SAGE-AGP[g=0.5],SAGE-AGP,g=0.5,0.4734042553191489,0.6140753271179074,0.3162760963379843,0.5010638297872341,0.6239184391688134,0.34898500314374387
DTD,SAGE-AGC[adaptive],SAGE-AGC,adaptive,0.47925531914893615,0.6112305465926201,0.3052116341006428,0.4925531914893617,0.6187099828255851,0.34245313643688263
DTD,SAGE-AGPC[adaptive],SAGE-AGPC,adaptive,0.4734042553191489,0.6140753271179074,0.3162760963379843,0.4952127659574468,0.6218682805559252,0.3473591254441559
DTD,SAGE-HYB[adaptive],SAGE-HYB,adaptive,0.4622340425531915,0.6166245058282557,0.30884057136970905,0.48404255319148937,0.6177430788566234,0.33989856233433907
