dataset,method,family,variant_suffix,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI
Flowers,TAC[g=0.0],TAC,g=0.0,0.6774509803921569,0.8761450202001215,0.5802507094622753,0.4176470588235294,0.7434755910128954,0.31710273490732527
Flowers,KEC[g=0.5],KEC,g=0.5,0.6833333333333333,0.878938961920416,0.5835438460501091,0.44509803921568625,0.7718938667844571,0.3548197917275367
Flowers,SAGE-A[g=0.5],SAGE-A,g=0.5,0.6843137254901961,0.8756798437319597,0.5789433877789809,0.4549019607843137,0.7773742315204499,0.3642338235712489
Flowers,SAGE-AG[g=0.0],SAGE-AG,g=0.0,0.6803921568627451,0.8788975929967033,0.5800730610102814,0.40490196078431373,0.7344057695084404,0.2999221633226398
Flowers,SAGE-AG[g=0.5],SAGE-AG,g=0.5,0.6803921568627451,0.8788975929967033,0.5800730610102814,0.46176470588235297,0.7839992420150586,0.3731025312612333
Flowers,SAGE-AGP[g=0.0],SAGE-AGP,g=0.0,0.6725490196078432,0.8827513834290702,0.5838814851019819,0.40980392156862744,0.7361930577918417,0.3043730703229675
Flowers,SAGE-AGP[g=0.25],SAGE-AGP,g=0.25,0.6725490196078432,0.8827513834290702,0.5838814851019819,0.42745098039215684,0.7493941405839597,0.3265759212004657
Flowers,SAGE-AGP[g=0.5],SAGE-AGP,g=0.5,0.6725490196078432,0.8827513834290702,0.5838814851019819,0.45,0.7775828532212521,0.3637407675779555
Flowers,SAGE-AGC[adaptive],SAGE-AGC,adaptive,0.6803921568627451,0.8788975929967033,0.5800730610102814,0.40588235294117647,0.7401195963425508,0.3096705422247369
Flowers,SAGE-AGPC[adaptive],SAGE-AGPC,adaptive,0.6725490196078432,0.8827513834290702,0.5838814851019819,0.42058823529411765,0.7475274976415252,0.3175183713296631
Flowers,SAGE-HYB[adaptive],SAGE-HYB,adaptive,0.6735294117647059,0.8825352987939187,0.6076467601710225,0.41274509803921566,0.7420814656755759,0.3118993246646112
