dataset,method,family,variant_suffix,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI
Pets,TAC[g=0.0],TAC,g=0.0,0.702098664486236,0.8096062119235549,0.6070879359419828,0.7735077677841373,0.8376168322917897,0.6893880654603355
Pets,KEC[g=0.5],KEC,g=0.5,0.6620332515671845,0.8034660661223374,0.5958808742402283,0.7770509675660943,0.82813439046401,0.6784504298977441
Pets,SAGE-A[g=0.5],SAGE-A,g=0.5,0.6710275279367676,0.8096883727610672,0.5915205464878694,0.7601526301444536,0.8219044531340021,0.6653431693206672
Pets,SAGE-AG[g=0.0],SAGE-AG,g=0.0,0.678659035159444,0.8138488343584513,0.6176077137641252,0.8062142273098937,0.8534651324472988,0.7230789155063849
Pets,SAGE-AG[g=0.5],SAGE-AG,g=0.5,0.678659035159444,0.8138488343584513,0.6176077137641252,0.7835922594712456,0.8346138305021622,0.6907578782714504
Pets,SAGE-AGP[g=0.0],SAGE-AGP,g=0.0,0.6860179885527392,0.8116381970247832,0.6120891043267571,0.8078495502861816,0.8542199006885093,0.724508745354813
Pets,SAGE-AGP[g=0.25],SAGE-AGP,g=0.25,0.6860179885527392,0.8116381970247832,0.6120891043267571,0.821749795584628,0.8594157580495692,0.731308706039447
Pets,SAGE-AGP[g=0.5],SAGE-AGP,g=0.5,0.6860179885527392,0.8116381970247832,0.6120891043267571,0.8048514581629872,0.8417066170719462,0.7042047898139832
Pets,SAGE-AGC[adaptive],SAGE-AGC,adaptive,0.678659035159444,0.8138488343584513,0.6176077137641252,0.8007631507222677,0.8433883637211865,0.707299901930405
Pets,SAGE-AGPC[adaptive],SAGE-AGPC,adaptive,0.6860179885527392,0.8116381970247832,0.6120891043267571,0.7803216135186699,0.8414415729815641,0.6952916105494951
Pets,SAGE-HYB[adaptive],SAGE-HYB,adaptive,0.6715726355955302,0.8110701469450973,0.622191891712031,0.8032161351866993,0.8448485283554356,0.7108009751664389
