dataset,method,concat_ACC,concat_delta_vs_TAC,concat_delta_vs_KEC,train_ACC,train_delta_vs_TAC,train_delta_vs_KEC
CIFAR-10,TAC[g=0.0],0.7606,0.0,-0.009999999999999898,0.919,0.0,0.03070000000000006
CIFAR-10,KEC[g=0.5],0.7706,0.009999999999999898,0.0,0.8883,-0.03070000000000006,0.0
CIFAR-10,SAGE-A[g=0.5],0.7672,0.006599999999999939,-0.0033999999999999586,0.8523,-0.06670000000000009,-0.03600000000000003
CIFAR-10,SAGE-AG[g=0.0],0.7617,0.0010999999999999899,-0.008899999999999908,0.9225,0.0034999999999999476,0.03420000000000001
CIFAR-10,SAGE-AG[g=0.5],0.7617,0.0010999999999999899,-0.008899999999999908,0.9069,-0.0121,0.01860000000000006
CIFAR-10,SAGE-AGP[g=0.0],0.7272,-0.033400000000000096,-0.043399999999999994,0.91,-0.009000000000000008,0.021700000000000053
CIFAR-10,SAGE-AGP[g=0.25],0.7272,-0.033400000000000096,-0.043399999999999994,0.9159,-0.0030999999999999917,0.02760000000000007
CIFAR-10,SAGE-AGP[g=0.5],0.7272,-0.033400000000000096,-0.043399999999999994,0.8033,-0.11570000000000003,-0.08499999999999996
CIFAR-10,SAGE-AGC[adaptive],0.7617,0.0010999999999999899,-0.008899999999999908,0.9145,-0.0045000000000000595,0.0262
CIFAR-10,SAGE-AGPC[adaptive],0.7272,-0.033400000000000096,-0.043399999999999994,0.9131,-0.005900000000000016,0.024800000000000044
CIFAR-10,SAGE-HYB[adaptive],0.769,0.008399999999999963,-0.0015999999999999348,0.9148,-0.0042000000000000925,0.026499999999999968
CIFAR-20,TAC[g=0.0],0.5443,0.0,-0.030399999999999983,0.5238,0.0,-0.0036999999999999256
CIFAR-20,KEC[g=0.5],0.5747,0.030399999999999983,0.0,0.5275,0.0036999999999999256,0.0
CIFAR-20,SAGE-A[g=0.5],0.5732,0.028900000000000037,-0.0014999999999999458,0.5508,0.026999999999999913,0.023299999999999987
CIFAR-20,SAGE-AG[g=0.0],0.5686,0.02429999999999999,-0.006099999999999994,0.6125,0.0887,0.08500000000000008
CIFAR-20,SAGE-AG[g=0.5],0.5686,0.02429999999999999,-0.006099999999999994,0.5141,-0.009700000000000042,-0.013399999999999967
CIFAR-20,SAGE-AGP[g=0.0],0.5677,0.023399999999999976,-0.007000000000000006,0.542,0.018199999999999994,0.014500000000000068
CIFAR-20,SAGE-AGP[g=0.25],0.5677,0.023399999999999976,-0.007000000000000006,0.5091,-0.014700000000000046,-0.018399999999999972
CIFAR-20,SAGE-AGP[g=0.5],0.5677,0.023399999999999976,-0.007000000000000006,0.5588,0.03499999999999992,0.031299999999999994
CIFAR-20,SAGE-AGC[adaptive],0.5686,0.02429999999999999,-0.006099999999999994,0.508,-0.015800000000000036,-0.019499999999999962
